School_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
CONCORD PRIMARY SCHOOL,PRIMARY,VOLLEYBALL,PHYSICAL SPORTS,
CORPORATION PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,
CORPORATION PRIMARY SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,
CORPORATION PRIMARY SCHOOL,PRIMARY,CHINESE CHESS,CLUBS AND SOCIETIES,
CORPORATION PRIMARY SCHOOL,PRIMARY,CHINESE DANCE,VISUAL AND PERFORMING ARTS,
CORPORATION PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,
CORPORATION PRIMARY SCHOOL,PRIMARY,ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,
CORPORATION PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,
CORPORATION PRIMARY SCHOOL,PRIMARY,GIRL GUIDES (BROWNIES),UNIFORMED GROUPS,
CORPORATION PRIMARY SCHOOL,PRIMARY,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,
CORPORATION PRIMARY SCHOOL,PRIMARY,MALAY DANCE,VISUAL AND PERFORMING ARTS,
CORPORATION PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,
CORPORATION PRIMARY SCHOOL,PRIMARY,NETBALL,PHYSICAL SPORTS,
CORPORATION PRIMARY SCHOOL,PRIMARY,PERCUSSION ENSEMBLE,VISUAL AND PERFORMING ARTS,
CORPORATION PRIMARY SCHOOL,PRIMARY,RED CROSS YOUTH,UNIFORMED GROUPS,
CORPORATION PRIMARY SCHOOL,PRIMARY,STUDENT LEADERSHIP (PREFECT),OTHERS,
CORPORATION PRIMARY SCHOOL,PRIMARY,VOLLEYBALL,PHYSICAL SPORTS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),ANGKLUNG/KULINTANG ENSEMBLE,VISUAL AND PERFORMING ARTS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),AUDIO VISUAL AID,CLUBS AND SOCIETIES,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),BADMINTON,PHYSICAL SPORTS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),CANOEING,PHYSICAL SPORTS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),CHINESE DANCE,VISUAL AND PERFORMING ARTS,CHINESE AND MODERN DANCE
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),CHOIR,VISUAL AND PERFORMING ARTS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),CONCERT BAND,VISUAL AND PERFORMING ARTS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),ENTREPRENEURSHIP,CLUBS AND SOCIETIES,INNOVATION AND ENTERPRISE
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),GIRL GUIDES,UNIFORMED GROUPS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),HOCKEY,PHYSICAL SPORTS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),INTERNATIONAL CHESS,CLUBS AND SOCIETIES,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),NETBALL,PHYSICAL SPORTS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),PHOTOGRAPHY,CLUBS AND SOCIETIES,DIGITAL ART & PHOTOGRAPHY CLUB
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),RED CROSS YOUTH,UNIFORMED GROUPS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),SINGAPORE NATIONAL YOUTH ORCHESTRA,VISUAL AND PERFORMING ARTS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),SOFTBALL,PHYSICAL SPORTS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),SP-CCA (WATER POLO),PHYSICAL SPORTS,
CRESCENT GIRLS' SCHOOL,SECONDARY (S1-S4),TRACK AND FIELD,PHYSICAL SPORTS,
CREST SECONDARY SCHOOL,SECONDARY (S1-S4),AIKIDO,PHYSICAL SPORTS,
CREST SECONDARY SCHOOL,SECONDARY (S1-S4),ART AND CRAFTS,CLUBS AND SOCIETIES,VISUAL ARTS CLUB
CREST SECONDARY SCHOOL,SECONDARY (S1-S4),BADMINTON,PHYSICAL SPORTS,
CREST SECONDARY SCHOOL,SECONDARY (S1-S4),BASKETBALL,PHYSICAL SPORTS,
CREST SECONDARY SCHOOL,SECONDARY (S1-S4),CONCERT BAND,VISUAL AND PERFORMING ARTS,POP BAND
CREST SECONDARY SCHOOL,SECONDARY (S1-S4),DESIGN AND INNOVATION,CLUBS AND SOCIETIES,INNOVATION CLUB
CREST SECONDARY SCHOOL,SECONDARY (S1-S4),DIABOLO,CLUBS AND SOCIETIES,CIRCUS ARTS
CREST SECONDARY SCHOOL,SECONDARY (S1-S4),ENTREPRENEURSHIP,CLUBS AND SOCIETIES,
CREST SECONDARY SCHOOL,SECONDARY (S1-S4),FLOORBALL,PHYSICAL SPORTS,
CREST SECONDARY SCHOOL,SECONDARY (S1-S4),FOOTBALL,PHYSICAL SPORTS,
CREST SECONDARY SCHOOL,SECONDARY (S1-S4),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,NEW MEDIA CLUB
CREST SECONDARY SCHOOL,SECONDARY (S1-S4),MODERN DANCE,VISUAL AND PERFORMING ARTS,DANCE
CREST SECONDARY SCHOOL,SECONDARY (S1-S4),SCOUTS,UNIFORMED GROUPS,
CREST SECONDARY SCHOOL,SECONDARY (S1-S4),TRACK AND FIELD,PHYSICAL SPORTS,ATHLETICS
DAMAI PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,
DAMAI PRIMARY SCHOOL,PRIMARY,CHINESE DANCE,VISUAL AND PERFORMING ARTS,
DAMAI PRIMARY SCHOOL,PRIMARY,ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,
DAMAI PRIMARY SCHOOL,PRIMARY,FLOORBALL,PHYSICAL SPORTS,
DAMAI PRIMARY SCHOOL,PRIMARY,GIRL GUIDES (BROWNIES),UNIFORMED GROUPS,
DAMAI PRIMARY SCHOOL,PRIMARY,MALAY DANCE,VISUAL AND PERFORMING ARTS,
DAMAI PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,
DAMAI PRIMARY SCHOOL,PRIMARY,PHOTOGRAPHY,CLUBS AND SOCIETIES,
DAMAI PRIMARY SCHOOL,PRIMARY,RED CROSS YOUTH,UNIFORMED GROUPS,
DAMAI PRIMARY SCHOOL,PRIMARY,ROBOTICS,CLUBS AND SOCIETIES,
DAMAI PRIMARY SCHOOL,PRIMARY,RUGBY,PHYSICAL SPORTS,
DAMAI PRIMARY SCHOOL,PRIMARY,SINGAPORE NATIONAL YOUTH ORCHESTRA,VISUAL AND PERFORMING ARTS,
DAMAI PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),ART AND CRAFTS,CLUBS AND SOCIETIES,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),CANOEING,PHYSICAL SPORTS,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),DRAGON BOAT,PHYSICAL SPORTS,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),GIRL GUIDES,UNIFORMED GROUPS,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),MALAY DANCE,VISUAL AND PERFORMING ARTS,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),NETBALL,PHYSICAL SPORTS,
DAMAI SECONDARY SCHOOL,SECONDARY (S1-S5),RUGBY,PHYSICAL SPORTS,
DAZHONG PRIMARY SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,ART CLUB
DAZHONG PRIMARY SCHOOL,PRIMARY,BADMINTON,PHYSICAL SPORTS,
DAZHONG PRIMARY SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,
DAZHONG PRIMARY SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,
DAZHONG PRIMARY SCHOOL,PRIMARY,FOOTBALL,PHYSICAL SPORTS,
DAZHONG PRIMARY SCHOOL,PRIMARY,GIRL GUIDES (BROWNIES),UNIFORMED GROUPS,BROWNIES
DAZHONG PRIMARY SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,
DAZHONG PRIMARY SCHOOL,PRIMARY,NETBALL,PHYSICAL SPORTS,
DAZHONG PRIMARY SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,
DAZHONG PRIMARY SCHOOL,PRIMARY,TCHOUKBALL,PHYSICAL SPORTS,
DAZHONG PRIMARY SCHOOL,PRIMARY,TRACK AND FIELD,PHYSICAL SPORTS,
DAZHONG PRIMARY SCHOOL,PRIMARY,WESTERN ORCHESTRA,VISUAL AND PERFORMING ARTS,JUNIOR ORCHESTRA
DAZHONG PRIMARY SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,
DE LA SALLE SCHOOL,PRIMARY,ART AND CRAFTS,CLUBS AND SOCIETIES,MCNALLY CLUB
DE LA SALLE SCHOOL,PRIMARY,BASKETBALL,PHYSICAL SPORTS,
DE LA SALLE SCHOOL,PRIMARY,CHOIR,VISUAL AND PERFORMING ARTS,
DE LA SALLE SCHOOL,PRIMARY,"ENGLISH LANGUAGE, DRAMA AND DEBATING",CLUBS AND SOCIETIES,TALKING TITANS
DE LA SALLE SCHOOL,PRIMARY,ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,MAKERS CLUB
DE LA SALLE SCHOOL,PRIMARY,GIRL GUIDES (BROWNIES),UNIFORMED GROUPS,BROWNIES
DE LA SALLE SCHOOL,PRIMARY,HOCKEY,PHYSICAL SPORTS,
DE LA SALLE SCHOOL,PRIMARY,INTERNATIONAL CHESS,CLUBS AND SOCIETIES,CHESS CLUB
DE LA SALLE SCHOOL,PRIMARY,MODERN DANCE,VISUAL AND PERFORMING ARTS,
DE LA SALLE SCHOOL,PRIMARY,NETBALL,PHYSICAL SPORTS,
DE LA SALLE SCHOOL,PRIMARY,PERCUSSION ENSEMBLE,VISUAL AND PERFORMING ARTS,
DE LA SALLE SCHOOL,PRIMARY,PHOTOGRAPHY,CLUBS AND SOCIETIES,MEDIA CLUB
DE LA SALLE SCHOOL,PRIMARY,ROBOTICS,CLUBS AND SOCIETIES,
DE LA SALLE SCHOOL,PRIMARY,RUGBY,PHYSICAL SPORTS,
DE LA SALLE SCHOOL,PRIMARY,SCOUTS,UNIFORMED GROUPS,
DE LA SALLE SCHOOL,PRIMARY,WUSHU,PHYSICAL SPORTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),ART AND CRAFTS,CLUBS AND SOCIETIES,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),BADMINTON,PHYSICAL SPORTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),ENVIRONMENTAL SCIENCE,CLUBS AND SOCIETIES,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),FENCING,PHYSICAL SPORTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),FOOTBALL,PHYSICAL SPORTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),HANDBALL,PHYSICAL SPORTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),JOURNALISM,CLUBS AND SOCIETIES,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),MARCHING BAND,VISUAL AND PERFORMING ARTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),OUTDOOR ADVENTURE,PHYSICAL SPORTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),ROBOTICS,CLUBS AND SOCIETIES,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),ST JOHN BRIGADE,UNIFORMED GROUPS,
